id,skill
1,Design Gráfico
1,Design Digital 
1,Design de Produto
1,Design OPS
1,Arquitetura de Informação
1,UX
1,UI
1,Gestão de Produto
1,Pesquisa e Desenvolvimento
1,Análise de Produto
1,Metodologias Ágeis
1,Empatia
1,Comunicação Efetiva
1,Colaboração em Equipe
1,Gestão de Conflitos
1,Prototipagem Rápida
1,Testes de Usabilidade
1,Design Responsivo
1,Análise Heurística
1,Figma
1,Design Thinking
1,Lean UX
2,Suporte Operacional
2,Onboarding
2,Operações de Pós-vendas
2,Sales Enablement
2,Sales Operations
2,Empatia
2,Trabalho em Equipe
2,Flexibilidade
2,Treinamento de Vendas
2,ERP
2,Mapeamento de Jornada
2,Feedback Estruturado
2,Gestão de Projetos
3,Design Digital 
3,Design de Produto
3,Design OPS
3,Arquitetura de Informação
3,UX
3,UI
3,Pesquisa e Desenvolvimento
3,Metodologias Ágeis
3,Inteligência Artificial
3,Comunicação Empática
3,Liderança Colaborativa
3,Resiliência Emocional
3,Prototipagem Rápida
3,Design Responsivo
3,Figma
3,Design Sprint
4,Gestão de Produto
4,Design de Produto
4,Desenvolvimento de Produto
4,Análise de Produto
4,Metodologias Ágeis
4,Design Gráfico
4,Arquitetura de Informação
4,UX
4,UI
4,Comunicação Efetiva
4,Liderança Motivacional
4,Wireframing
4,Prototipagem Rápida
4,Teste A/B
4,Design Sprint
4,Design Thinking
4,Kanban
5,Gestão de Produto
5,Desenvolvimento de Produto
5,Pesquisa e Desenvolvimento
5,Análise de Produto
5,Metodologias Ágeis
5,Empatia
5,Gestão de Conflitos
5,Liderança Colaborativa
5,Análise de Requisitos
5,Design Centrado no Usuário
5,Lean Startup
5,KPI e Métricas
6,Back-end
6,Inteligência Artificial
6,Resolução de Conflitos
6,Desenvolvimento Web
6,Docker
6,Kubernetes
6,Git
6,Scrum
6,DevOps
7,Pesquisa e Desenvolvimento
7,Análise de Produto
7,Operações de Pós-vendas
7,Análise de Dados
7,Visualização de Dados
7,Empatia
7,Trabalho em Equipe
7,Programação SQL
7,Desenho de Processos
7,Mapeamento de Processos
8,Scrum
8,Kanban
8,Front-end
8,Back-end
8,Full-stack
8,Mobile Development
8,UX
8,UI
8,QA
8,Project Management
8,Agile Coaching
8,Infraestrutura de TI
8,Recrutamento e Seleção
8,Treinamento e Desenvolvimento
8,Gestão de Performance
8,Planejamento de Carreira
8,Diversidade e Inclusão
8,Empatia Estrutural
8,Gestão de Conflitos
8,Liderança Inspiradora
8,Design Responsivo
8,Programação Assíncrona
8,Integração Contínua
8,Design Sistemas
8,JIRA
8,Figma
9,Front-end
9,UX
9,UI
9,Inteligência Artificial
9,Design de Produto
9,Desenvolvimento de Produto
9,Pesquisa e Desenvolvimento
9,Análise de Produto
9,Design Gráfico
9,Design Digital 
9,Design OPS
9,Arquitetura de Informação
10,Back-end
10,Project Management
10,Inteligência Artificial
10,Planejamento de Carreira
11,Benefícios
11,Planejamento de Sucessão
11,Suporte Operacional
11,Suporte Estratégico
11,Onboarding
11,Customer Success Enablement
11,Customer Experience
11,Operações de Pós-vendas
11,Gestão de Projetos
11,Visualização de Dados
12,Gestão de Produto
12,Desenvolvimento de Produto
12,Pesquisa e Desenvolvimento
12,Análise de Produto
12,Metodologias Ágeis
12,Comunicação Efetiva
12,Liderança Colaborativa
12,Análise de Dados
12,Mapeamento de Usuários
12,Modelagem de Negócios
12,Miro
12,Design Thinking
12,Lean
13,Front-end
13,Back-end
13,Cybersecurity
13,Project Management
13,Testes Automatizados
13,Otimização de Desempenho
13,AWS
13,Kanban
13,Scrum
13,Domain Driven Design